Sentence,Word Target ,Syllables,Characters,AI / Tool / Person,NOW fpmw (2019-2023),COCA fpmw,NOW (Zipf),COCA (Zipf),Overall Band,Concreteness
It is nice to greet an,AI,2,2,AI ,76.54,72.75,4.883888458,4.861832998,4,3.42
It is nice to greet an,engine,2,6,Tool,43.4,35.89,4.63748973,4.554973458,4,4.86
It is nice to greet an,artist,2,6,Person,45.67,55.8,4.659631012,4.746634199,4,4.24
,,,,,,,,,,
Music is fun to listen to for,androids,2,8,AI ,17.79,2.25,4.250175948,3.352182518,4,4.22
Music is fun to listen to for,laptop(s),2,7,Tool,20.26,12.29,4.306639441,4.089551883,4,4.96
Music is fun to listen to for,singer(s),2,7,Person,40.82,22.71,4.610873,4.356217134,4,4.62
,,,,,,,,,,
"Together, I sip wine with my ",chatbot,2,7,AI ,2.7,0.05,3.431363764,1.698970004,3,n/a
"Together, I sip wine with my",toolbox,2,7,Tool,1.14,1.32,3.056904851,3.120573931,3,4.75
"Together, I sip wine with my",nephew,2,6,Person,5.87,7.1,3.768638101,3.851258349,3,4.48
